  0.097849
       2.095   0.0001242       1.805   1.712e-07       11.13   5.322e-09
       2.429    0.000187       2.031   2.167e-07       13.15   1.813e-09
       2.816   0.0002753       2.286   2.699e-07       15.18   5.763e-10
       3.265   0.0003954       2.572   3.295e-07        17.2   1.686e-10
       3.785   0.0005555       2.894   3.931e-07       19.23   4.529e-11
       4.389   0.0007667       3.257   4.559e-07       21.26   1.131e-11
       5.088    0.001044       3.665    5.11e-07       23.28   2.662e-12
       5.899      0.0014       4.125   5.497e-07       25.31   5.987e-13
        6.84    0.001831       4.642   5.633e-07       27.33   1.299e-13
        7.93    0.002274       5.223   5.452e-07       29.36   2.736e-14
       9.194    0.002575       5.878   4.938e-07       31.39   5.623e-15
       10.66    0.002482       6.615   4.142e-07       33.41   1.132e-15
       12.36    0.001818       7.444   3.181e-07       35.44   2.241e-16
       14.33   0.0008461       8.377   2.209e-07       37.46   4.373e-17
       16.61   0.0002071       9.427   1.369e-07       39.49   8.427e-18
       19.26    2.69e-05       10.61   7.448e-08       41.51   1.601e-18
       22.33   2.169e-06       11.94     3.5e-08       43.54   3.034e-19
       25.89   1.079e-07       13.43   1.393e-08       45.56   5.713e-20
       30.02   3.056e-09       15.12   4.593e-09       47.59    1.07e-20
        34.8   4.514e-11       17.01   1.226e-09       49.62   1.997e-21
       40.35   3.161e-13       19.15   2.574e-10       51.64   3.718e-22
       46.78    9.41e-16       21.54   4.129e-11       53.67   6.909e-23
       54.24    1.07e-18       24.25   4.888e-12       55.69   1.283e-23
       62.89   4.074e-22       27.28   4.109e-13       57.72   2.382e-24
       72.91   4.362e-26        30.7   2.351e-14       59.74   4.423e-25
       84.54   1.102e-30       34.55   8.727e-16       61.77   8.222e-26
       98.01   4.504e-36       38.88   1.994e-17        63.8   1.531e-26
       113.6   8.394e-43       43.76   2.648e-19       65.82   2.857e-27
       131.8           0       49.24   1.923e-21       67.85   5.343e-28
       152.8           0       55.41    7.18e-24       69.87   1.002e-28
       177.1           0       62.35   1.305e-26        71.9   1.883e-29
       205.3           0       70.17   1.116e-29       73.92   3.551e-30
       238.1   1.401e-45       78.97   4.492e-33       75.95   6.716e-31
